,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
446,ClG 1054-03,0.829,10 57 00.2,-03 37 27,5.0,5.0,0
447,ClG J1054-1146,0.698,10 54 24.2,-11 46 18,2.9166667,2.9166667,0
458,ACO  1201,0.1671,11 12 54.4,+13 26 08,14.666667,14.666667,0
477,ClG J1117+1744,0.55,11 17 30.2,+17 44 44,3.52,3.52,0
478,BAX 169.3587+07.7264,0.48,11 17 26.1,+07 43 35,4.77,4.77,0
495,ACO  1300,0.306,11 32 00.7,-19 53 34,4.8,4.8,0
515,ACO  1413,0.1412,11 55 12.87,+23 23 46.9,14.583333,14.583333,0
516,MCS J1149.5+2223,0.545,11 49 35.8,+22 23 55,7.9166665,7.9166665,0
525,NAME NGC 4104 Group,0.02817,12 06 19.75,+28 07 08.3,16.666666,16.666666,0
545,ZwCl 1215+0400,0.0772,12 17 43.62,+03 38 51.5,18.333334,18.333334,0
549,ClG J1216-1201,0.794,12 16 45.10,-12 01 17.3,4.5833335,4.5833335,0
566,BAX 190.3879+32.8397,0.39619,12 41 33.1,+32 50 23,6.41,6.41,0
568,ACO  1589,0.0709,12 41 08.09,+18 33 18.5,19.583334,19.583334,0
573,M  60,0.00339,12 43 39.9680,+11 33 09.696,7.94,6.61,0
574,ZwCl 1231+1007,0.23208,12 34 21.9,+09 47 02,4.0,4.0,0
577,NGC  4636,0.00307,12 42 49.8333,+02 41 15.951,7.76,5.89,0
585,2XMM J125602.2+255636,0.232,12 56 04.9,+25 56 52,6.99,6.99,0
590,ACO  1612,0.18177,12 47 43.2,-02 47 32,4.3,4.3,0
593,ClG J1252-2927,1.24,12 52 54.4,-29 27 17,2.9166667,2.9166667,0
594,ACO  3526,0.011,12 48 51.8,-41 18 21,16.666666,16.666666,0
598,ACO  1656,0.0234,12 59 44.40,+27 54 44.9,30.0,30.0,0
599,ZwCl 1303+2647,0.30812,13 05 58.0,+26 30 53,0.233,0.117,0
602,ACO  1650,0.0843,12 58 42.0,-01 45 45,17.666666,17.666666,0
605,ZwCl 1305+2941,0.24,13 07 49.25,+29 25 48.3,7.33,7.33,0
606,MCXC J1311.7+2201,0.17153,13 11 46.20,+22 01 37.3,7.9166665,7.9166665,0
609,ACO  1689,0.1842,13 11 29.5,-01 20 28,4.0,4.0,0
611,BAX 199.3086-25.5133,0.247,13 14 25.4,-25 15 44,0.187,0.116,0
616,ClG 1322+3027,0.753,13 24 48.2,+30 11 34,2.9166667,2.9166667,0
619,NAME NGC 5171 Group,0.024268,13 29 05.10,+11 45 04.8,16.666666,16.666666,0
622,ZwCl 1316-0044,0.08321,13 19 16.58,-00 55 01.2,4.8333335,4.8333335,0
625,ACO  3558,0.048,13 27 54.8,-31 29 32,20.416666,20.416666,0
626,ACO  1763,0.2312,13 35 20.1,+41 00 04,11.16,11.16,0
635,ACO  1750,0.0856,13 30 50.44,-01 51 27.1,14.583333,14.583333,0
636,ACO  3562,0.049,13 33 31.8,-31 40 23,5.0,5.0,0
642,ACO  1795,0.063,13 48 50.48,+26 35 07.4,23.333334,23.333334,0
643,ACO  1775,0.075,13 41 50.60,+26 21 10.6,21.666666,21.666666,0
649,ClG J1347-1145,0.45,13 47 30.5,-11 45 07,2.0,2.0,0
651,HCG  68,0.008,13 53 40.9,+40 19 07,9.2,9.2,0
658,ACO  1835,0.2506,14 01 02.07,+02 52 43.2,2.0,2.0,0
660,ClG J1354-0221,0.54786,13 54 16.9,-02 21 47,4.59,4.59,0
667,ACO  1882,0.13773,14 14 24.02,-00 22 39.9,7.9166665,7.9166665,0
669,ACO  1914,0.166,14 26 03.32,+37 49 58.7,7.5,7.5,0
671,ClG J1415+3611,1.027,14 15 11.1,+36 12 03,2.9166667,2.9166667,0
674,BAX 214.1083+23.2564,0.13814,14 16 27.70,+23 15 25.9,13.333333,13.333333,0
